"","SPOKE","HUB","2016","2017","2018","2019","2020","2021","Mean","Median","sd"
"44","IND","All",0.582951609697313,0.616415294810724,0.644140420280005,0.647617551804447,0.733130876505492,0.737547538532904,0.660300548605147,0.645878986042226,0.062613315071271
"45","IDN","All",1,1,1,1,1,1,1,1,0
"46","IRL","All",1,1,1,1,1,1,1,1,0
"47","ITA","All",0.456958016858026,0.459694415193865,0.458014351447837,0.451630407709214,0.465368888276058,0.473790250811051,0.460909388382675,0.458854383320851,0.00771199032890621
"48","JPN","All",0.625151915145034,0.627819082750404,0.637562373273654,0.642550460984233,0.639529019351842,0.630657486324361,0.633878389638254,0.634109929799007,0.00698494020325358
"49","KOR","All",0.680494071494801,0.649945249762007,0.652708472022404,0.659120058631501,0.664974517168352,0.675971823759977,0.66386903213984,0.662047287899926,0.012369916434041
"50","MYS","All",0.60982084737233,0.61598453184555,0.621350731012395,0.634170723018648,0.653804361591211,0.658571277479937,0.632283745386679,0.627760727015521,0.0202361503381006
"51","MEX","All",1,1,1,1,1,1,1,1,0
"52","NLD","All",0.429180434362845,0.43293131217404,0.442897653469853,0.450560887355961,0.445722361045564,0.449971622788091,0.441877378532726,0.444310007257709,0.00892176508956785
"53","POL","All",1,1,1,1,1,1,1,1,0
"54","RUS","All",0.617693554038537,0.639669818025806,0.674904976634614,0.65589723202005,0.731927481518945,0.699351901906259,0.669907494024035,0.665401104327332,0.0414133477440546
"55","SAU","All",0.391528707372331,0.403252987020546,0.436909288514189,0.508222270782859,0.531492139743832,0.500402384596884,0.461967963005107,0.468655836555537,0.0591394136063251
"56","SGP","All",0.390953455945456,0.413694487816719,0.400786326343984,0.437821447100495,0.473381609936248,0.453819847559616,0.428409529117086,0.425757967458607,0.0320602174853397
"57","ESP","All",0.269398726326466,0.271126217874907,0.265562369639365,0.263564811411165,0.272282559055683,0.253545065882483,0.265913291698345,0.267480547982915,0.00690654669601755
"58","CHE","All",0.767664693906883,0.862923746222351,0.917710797862322,0.800085061220579,0.892521743117047,0.914894458460457,0.85930008346494,0.877722744669699,0.06248650921316
"59","THA","All",0.702490569418748,0.7178433189406,0.700362246611838,0.714101651623493,0.73714740014968,0.759569189539496,0.721919062713976,0.715972485282047,0.0226685711357437
"60","ARE","All",0.159950407374982,0.187988390139762,0.202277711883292,0.182974726140938,0.254555130043993,0.240975911832341,0.204787046235885,0.195133051011527,0.036224547635231
"61","GBR","All",0.566212628358859,0.551581013346657,0.539563660126469,0.587937003887838,0.548269388298703,0.482451664857834,0.546002559812727,0.54992520082268,0.0354496200388116
"62","VNM","All",1,1,1,1,1,1,1,1,0
"63","AUS","All",0.694865073615663,0.73902344625811,0.679616334823343,0.723027494405086,0.767422053295846,0.793937774015067,0.732982029402186,0.731025470331598,0.0432159905776931
"64","AUT","All",1,1,1,1,1,1,1,1,0
"65","BEL","All",0.467036593651923,0.459826463137553,0.480218491389173,0.498692124227269,0.503692160070246,0.485688128718514,0.482525660199113,0.482953310053843,0.0172038614314628
"66","BRA","All",1,1,1,1,1,1,1,1,0
"67","CAN","All",1,1,1,1,1,1,1,1,0
"68","CHN","All",0.268688145435507,0.276484663813617,0.278074460168807,0.251272957717487,0.259828881918175,0.259576180128262,0.265654214863642,0.264258513676841,0.010568475953393
"69","HKG","All",1,1,1,1,1,1,1,1,0
"70","TWN","All",0.649541277126688,0.670053188933232,0.678689305893491,0.684629790360777,0.678767496040101,0.675192611626407,0.672812278330116,0.676940958759949,0.0123650775934501
"71","CZE","All",1,1,1,1,1,1,1,1,0
"72","FRA","All",0.486630251302571,0.475496649921779,0.480183519991299,0.480925990860481,0.476013708403465,0.474018007499053,0.478878021329774,0.478098614197382,0.00467446833508373
"73","HUN","All",1,1,1,1,1,1,1,1,0
"74","IND","All",0.582951609697313,0.616415294810724,0.644140420280005,0.647617551804447,0.733130876505492,0.737547538532904,0.660300548605147,0.645878986042226,0.062613315071271
"75","IDN","All",1,1,1,1,1,1,1,1,0
"76","IRL","All",1,1,1,1,1,1,1,1,0
"77","ITA","All",0.456958016858026,0.459694415193865,0.458014351447837,0.451630407709214,0.465368888276058,0.473790250811051,0.460909388382675,0.458854383320851,0.00771199032890621
